Author(s),count
J. K. Rowling,7
Suzanne Collins,3
Dan Brown,3
Roald Dahl,3
George Orwell,2
Erskine Caldwell,2
Ken Follett,2
Albert Camus,2
E. L. James,2
Sam McBratney,1
